index,tconst,originalTitle,genres,averageRating,numVotes,URL,poster,youtube,keywords,nas
0,tt0111161,The Shawshank Redemption,Drama,9.3,2198923,https://www.imdb.com/title/tt0111161/?ref_=hm_hp_cap_pri_1),"https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.youtube.com/embed/RLw6hBFJ8bk,prison infidelity suicide imprisonment carving maggot trial banker betting masterpiece panty escape corruption redemption beach chessboard contraband smuggler innocence regret opera camaraderie shiv beating brutality adultery violence accountant embezzlement parole bribe time hope harmonica thunder rain friendship bet worm poster library jail shoe hero tenacity victrola hypocrisy sympathy empathy longing kindness compassion chess humanism psychopath abuse bus yelling graveyard store religion death murder inspection cafeteria exercise rule laundry assistant ged librarian invitation ocean sailboat gift geology soprano phonograph dying fear society border sin duet penknife vomiting underdog bookshelf cornfield feces ambulance hammer warden revolver reporter lightning sewer collector weapon tunnel search freedom bullet bloodhound betrayal mentor illiteracy filth beer courtroom hanging bribery revenge compass friend prisoner convict checker judge photographer pigeon photograph rope shoeshine typewriter water siren pet night glass flashlight darkness letter pie crow,XWW en 9.0
1,tt0468569,The Dark Knight,"Action,Crime,Drama",9,2180807,https://www.imdb.com/title/tt0468569/?ref_=hm_hp_cap_pri_1),"https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.youtube.com/embed/xGcfBRkJSWQ,joker psychopath clown superhero disfigurement hero sequel money skyscraper mobster jujitsu billionaire villain chaos grenade henchman knife billiards blockbuster anarchist darkness montage death sailboat alley masterpiece scream dog epic police policeman criminal menace panic obsession diving doctor nihilist nihilism corruption thug brutality helicopter mauling friendship newscaster electrocution revenge murder interrogation cape insanity acid coercion whisky beard fireplace bravery distrust typewriter cruelty camera bullet antihero vehicle sabotage millionaire screaming businessman bus survival night cityscape ballerina mustache schizophrenic yacht policewoman searchlight armorer philanthropist shipyard dock wig automobile motorcade blindfold combat terror vigilante anarchy fight mayor trucker helmet shard mercilessness key manipulation madman sunglass inventor crowbar floodlight crutch playboy tension desperation thief parachute van rifle surveillance scientist nurse flashlight decoy telescope maniac tattoo paranoia politics reporter mission bartender bridge punk fingerprint law explosive convict prisoner warehouse elevator airplane kitchen engineer ambush robber suspense gang sadist promise scarecrow investigation apartment bar coin handcuff deception arrest corpse warrior trial silencer costume rocket dynamite terrorism ferry bomb duel terrorist sniper brawl showdown explosion secretary restaurant court torture interview ambulance detective shotgun poison mutilation beating betrayal party hate detonator justice danger ruthlessness pistol schizophrenia impostor conscience impalement seaplane servant letter sadism blackmail rivalry escape revolver courage motorcycle butler boat funeral pencil dagger idealism gadget sonar penthouse prison hope fire laughing camouflage honor evacuation scar rescue mask lawyer hostage hospital heroism vigilantism coffee blood accountant robbery judge truck rope destruction hatred bagpipe horse parade cynicism ship journalist homoerotic fear disguise gasoline assassin limousine assassination gangster sitting bodyguard chase bruise axe visionary violence flying,IN en 9.0
2,tt1375666,Inception,"Action,Adventure,Sci-Fi",8.8,1929684,https://www.imdb.com/title/tt1375666/?ref_=hm_hp_cap_pri_1),"https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.youtube.com/embed/_WQV2gn5sl4,dream subconscious thief architecture architect deception child suspense marriage suicide memory airplane guilt bathtub hotel bar train van disguise hallway hostage manipulation death revenge ambiguity night brawl sniper elevator airport labyrinth levitation widower murder sabotage avalanche rescue teamwork puzzle maze betrayal lawyer wallet snowmobile flood bridge impostor henchman escape battle battlefield montage espionage violence photograph college assassin japan silencer fight identity impersonation helicopter bomb beach safe deathbed blockbuster businessman sleeping chase knife bodyguard pistol desperation electrocution torture interrogation mercilessness combat beard shotgun vehicle weapon psychological street alcohol river time mind business company ocean wave city skyscraper table father son daughter mother chemistry fugitive redemption professor mission brutality conscience casino chaos flooding mercenary symbolism custom vault forger chemist sedation uncle gunfire limbo riot security training demolition skiing grenade mountain snow inheritance industrialist water fire warrior destruction gun explosive explosion dollhouse motorcycle pursuit surrealism spiral floating blood oneiric aging taxi limousine,CA en 9.0
3,tt0110912,Pulp Fiction,"Crime,Drama",8.9,1728017,https://www.imdb.com/title/tt0110912/?ref_=hm_hp_cap_pri_1),"https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY268_CR1,0,182,268_AL_.jpg",https://www.youtube.com/embed/Y6YBKdmOlM8,overdose bondage rapist rape corpse boxer cunnilingus violence gangster anthology boxing motel torture gore mob restaurant diner voyeur intercom brothel hamburger brutality redemption panty lingerie blood silencer bar shower piercing assault murder heroin robbery voyeurism buddy actress psychopath coffee cleavage tuxedo adrenaline joke nosebleed nurse bathroom alarm chopper taxi barefoot wallet basement homage pawnshop gold phonograph kamikaze trophy prologue motorcycle blockbuster wrestler uniform interruption toaster singing elevator convertible torturer mutilation maniac villain evil terror perversion profanity dinner banter bacon kiss joint gun syringe surrender code fool shotgun interrogation deception loyalty heirloom robber drug corruption rescue cocaine racism racist honda mullet humiliation revenge shouting gourmet mirror,XWW en 9.0
4,tt0068646,The Godfather,"Crime,Drama",9.2,1515071,https://www.imdb.com/title/tt0068646/?ref_=hm_hp_cap_pri_1),"https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY268_CR3,0,182,268_AL_.jpg",https://www.youtube.com/embed/I0zEHAk1iAo&list=PLBVGO9O5iPhGUoNbVqBnNHv7t0aHBtycl,patriarch gangster violence murder wedding revenge epic casino mercilessness criminal shooting betrayal assassination beating pistol symbolism death widower honor vengeance traitor church police catholic baptism undertaker power lawyer attorney bagman masterpiece dancing bride decapitation godfather firearm weapon kiss breast drug revolver bathtub elevator knife assassin bar cornfield cat melancholy gore blood urination bathroom marriage paraplegic massage tollbooth fugitive strangulation fish horse hospital mansion village hotel courtship cemetery restaurant garrote funeral singer invalid ambush stable nurse teacher,CA en 9.0
5,tt0109830,Forrest Gump,"Drama,Romance",8.8,1697248,https://www.imdb.com/title/tt0109830/?ref_=hm_hp_cap_pri_1),"https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR1,0,182,268_AL_.jpg",https://www.youtube.com/embed/EtYNngO7eq4,amputee mother bully cocaine hugging racism c fight fainting chocolate running football journey anger assassination u napalm jungle innocence father son handicap battle kindness friendship china rain splatter prayer maid doctor cornfield bus feather bullying speech taxi shrimp college protest reunion television helicopter monsoon platoon legacy sock runner athlete dancing guitar prostitution disability singer wedding follower tragicomedy kiss underdog deathbed bitterness serendipity autism fishing bar church uniform swimming grave faith bathroom balcony blockbuster,JP en 9.0
6,tt0167260,The Lord of the Rings: The Return of the King,"Adventure,Drama,Fantasy",8.9,1563177,https://www.imdb.com/title/tt0167260/?ref_=hm_hp_cap_pri_1),"https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.youtube.com/embed/SEUOCKcqXsM,orc epic battle journey ring king quest fate lava volcano curse wizard courage sequel violence tree barefoot swordsman mountain death bowing throne fireplace hatred pipe army ruin ambush outpost signal singing blockbuster trilogy city gate camaraderie drinking kingdom staff mission magic light ship plain horse sorcerer monster fire warrior tragedy strangulation spirit disfigurement tunnel troll tower temptation rescue invisibility forest eagle combat dwarf sword elf castle loyalty dancing beard hoodie horseman helmet high leaf scuffle isolation fish candle statue lightning bridge amphibian torch rope blood whispering oath lie archer tent suspicion fear showdown dream idealism hope destiny abyss vision princess horn defense pub marriage boat soldier wound wedding suicide stair murder madness ghost fortress fishing disguise decoy betrayal archery friendship spider drunkenness battlefield courtyard feast ale sweating pond fool pillar plan aid narcotic drug hay blacksmith cape blade quarrel murderer kill killing killer gazebo book stubble hall banner beacon caretaker legion mammoth mercenary crouching stairway axe scythe running chick goatee captain massacre slaughter club evacuation panting grape ginger chalice plot accusation dismissal camp inscription emaciation paralysis pirate witch undead peril melodrama alliance skull river brotherhood honor harbor retreat exhaustion greed corruption nightmare insanity deception darkness gardener tomb staircase siege sailboat pyre premonition impalement fight elephant coronation cocoon cliff cavalry catapult heroism decapitation bravery sneaking franchise balladeer c prehistory gore survival,CA en 9.0
7,tt0167261,The Lord of the Rings: The Two Towers,"Adventure,Drama,Fantasy",8.7,1411293,https://www.imdb.com/title/tt0167261/?ref_=hm_hp_cap_pri_1),"https://m.media-amazon.com/images/M/MV5BNGE5MzIyNTAtNWFlMC00NDA2LWJiMjItMjc4Yjg1OWM5NzhhXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY268_CR0,0,182,268_AL_.jpg",https://www.youtube.com/embed/5SaFjePV_Zg,wizard mission dwarf orc epic tower treason forest resurrection swamp blockbuster trilogy army attack evil quest elf guide sequel monster violence melodrama magic idealism brotherhood cannibalism castle immortality eye invisibility camaraderie schizophrenia traitor warrior honor sewer funeral blood gunpowder river fight camouflage rescue rabbit fortress crossbow wilderness cave escape mountain thunderstorm betrayal amulet hero courage loyalty volcano cemetery fishing horn sword chase princess map tragedy c axe love hope combat temptation flooding gore talisman peril fear nightmare explosive dismemberment impalement entrails mercy banishment friendship refugee prince conscience barbarian waterfall armor madness treachery archery tyrant cavalry alliance abyss gate compassion gardener heroism demon decapitation bravery redemption siege ambush hostage ruin genocide franchise king balladeer emaciation prehistory elephant horse exorcism,CA en 9.0
8,tt0816692,Interstellar,"Adventure,Drama,Sci-Fi",8.6,1382775,https://www.imdb.com/title/tt0816692/?ref_=hm_hp_cap_pri_1),"https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.youtube.com/embed/j3DuONZb3Ik,astronaut gravity wormhole famine scientist spaceship love betrayal physicist dust space cornfield robot planet surrealism rescue epic grandfather futuristic bookcase bookshelf farmer widower drone time mission helmet ice survival brawl blockbuster drought book subterranean rocket courage hope sabotage farm ambush montage melodrama fight suspense desperation pilot flood water corpse laboratory food glacier mountain beer apocalypse destiny birthday woman school cry farming expedition astrophysics gasoline science corn fire professor baseball farmhouse escape wrench future engineer asphyxiation explosion snow tesseract cryogenics sphere chase deception clock organ toy emotional string galaxy dying ocean wave bed man paper popcorn embryo drawing death disaster flare colorado beating teacher nightmare desert truck bomb hospital biologist,US en 9.0
9,tt1345836,The Dark Knight Rises,"Action,Adventure",8.4,1443957,https://www.imdb.com/title/tt1345836/?ref_=hm_hp_cap_pri_1),"https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.youtube.com/embed/aj1Q_BAqwa8,sequel bravery hallucination waterfall motorcycle showdown trapped cave flare hero courage anger key limousine fire mansion orphan flood captain thug airplane explosion destruction terrorist suspense warrior villainess lawlessness dungeon deception superhero cape survival vehicle singing child waitress company business stock economy hat megaphone bat climbing speech lie cry tombstone city thief manor anarchy mercenary protest revolution cane trial evacuation psychopath snow apartment memorial revenge henchman torture combat sniper pistol hostage hummer hope execution brawl gas billionaire burglar chef fugitive death costume wealth aircraft imprisonment blockbuster epic vigilante vigilantism desperation vault hatred montage unemployment night stockbroker heroine honda police exile butler mercilessness rookie danger panic roadblock screaming injection bankruptcy water paranoia pit elevator letter seduction bodyguard lawyer engineer mission doctor recovery helmet shoeshine sabotage cemetery stadium ice winter training army riot graveyard funeral rocket missile revelation impalement truck bus gasoline massacre chaos tank soldier u detonator rope desert ambush subway fireplace surveillance assassin pickpocket conspiracy armory computer shaving ambulance pentagon satellite taxi tunnel sewer corpse necklace ball safe bomb scientist photograph burglary subterranean strangulation siege knife interrogation duel beating rifle shotgun escape rescue chanting bridge isolation chase congressman loyalty battle hospital betrayal tyranny court priest physicist mayor armorer socialite helicopter crash blockade disguise judge prisoner prison apple rumble suicide explosive trap statue dance fingerprint manhole maid swat investigation theft robbery piano kitchen football underground brutality terrorism battlefield tattoo blindness recluse party commando coup barefoot homelessness military gadget airport bar redemption heroism detective inheritance legend,IN en 8.0
10,tt0108052,Schindler's List,"Biography,Drama,History",8.9,1147611,https://www.imdb.com/title/tt0108052/?ref_=hm_hp_cap_pri_1),"https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg",urlnotfound,accountant champagne villa womanizer soap shaving gratitude manicure marriage diamond german engineer doctor louse snow investor bathtub holocaust worker list wedding businessman factory uniform barrack shower railway secretary infestation prisoner field architect emaciation starvation widow violence typewriter ruthlessness murder rescue forgiveness honor cruelty hero urination ring piano maid hanging guilt conscience compassion cemetery candle ash racism death ghetto freezing pistol swastika suitcase liberation sadist psychopath splatter present cry hate friendship hope prologue mirror industrialist blood rabbi redemption coat masterpiece controversy genocide epic water outhouse blockbuster,CA en 9.0
11,tt0172495,Gladiator,"Action,Adventure,Drama",8.5,1269726,https://www.imdb.com/title/tt0172495/?ref_=hm_hp_cap_pri_1),"https://m.media-amazon.com/images/M/MV5BMDliMmNhNDEtODUyOS00MjNlLTgxODEtN2U3NzIxMGVkZTA1L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.youtube.com/embed/l-kV68xPVnM,gladiator slavery combat battlefield blood spear crucifixion violence rape emperor general death revenge senate senator escape murder arena prisoner soldier legion army encampment loyalty trust trident mace training captive antiquity politics barbarian warrior afterlife chariot betrayal arrest archery hanging battle decapitation corruption slave banner caravan strength underdog axe hero heroine assassination villain epic centurion son power dying game popularity successor philosopher home wife imprisonment crowd procession singing crown bow fame hail depravity debauchery whip destruction conquest document salute slaughter river poison cheating statue vindication retribution coliseum spectacle contract chanting entertainment skirt campaign vision hate failure sobbing veil plague protocol court mistress scroll medal cruelty devotion courage scarf wisdom ambition justice triumph journey olive grape apple speech crop jasmine applause envoy messenger butcher blade deserter practice fight frost incest carriage victory bloodshed placard lion cage hallucination child fire sun hug injury wound slap refusal archer infantry gold cape bandage native insignia brutality prayer ancestor savagery survival survivor arrow flag horse flying lance fur armor god republic tyrant homesickness reward peace farmer tent enemy ring surrealism stadium jealousy redemption suffocation widow vengeance sword stabbing patricide helmet gore dungeon crossbow catapult gambling nephew regicide freedom tiger honor dismemberment impalement leadership mutilation blockbuster empire map shield torch cobra elephant camel giraffe tattoo desert imagery snake forest dog parade,CA en 8.0
